OBJECTID,OID_,TAX_ID,Shape_Leng,FRONTFEET,DEPTH,ACRES,FFxDAcres,Shape_Acre,TAX_ID_1,SURA,SEIZB,TNT_NAME,Nhood,Quad,LUCODE,LandUse,Units,AmtDelinqu,TOTINT,YrsDelinqu,StNum,StName,Lvalue,Fvalue,CityTaxabl,STARS,STARC,STAR,YEARB,SALES,PNUMBR,WARD,SBL,CountyTXBL,SchoolTXBL,TOTSYR,TOTONO,INTSYR,INTONO,ACTRST,SENIOR_EXE,VET_EXEMPT
370,0,31150004800000140010010000,1227.85645006,179.60000000,347.00000000,1.43000000,1.43069789,1.95328655,31150004800000140010010000,N, ,Eastside,University Hill,SE,641,Community Services,0.00000000,17502.14000000,30816.20000000,33.00000000,800-14,GENESEE ST E TO CEDAR ST,674000.00000000,3769000.00000000,0.00000000,0.00000000,0.00000000, ,1973, ,1531007001,15,048.-14-01.1,0.00000000,0.00000000,5530.61000000,11971.53000000,3817.31000000,26998.89000000, , , 
371,0,31150010100000100020000000,746.50937607,100.21000000,273.24000000,0.63000000,0.62859000,0.62608322,31150010100000100020000000,N, ,Downtown,Downtown,NW,652,Community Services,0.00000000,711.34000000,677.21000000,2.00000000,444,SALINA ST S TO CLINTON ST,747600.00000000,1565400.00000000,0.00000000,0.00000000,0.00000000, ,1940, ,0979106901,09,101.-10-02.0,0.00000000,0.00000000,711.34000000,0.00000000,677.21000000,0.00000000, , , 
372,0,31150010000000160010000000,1389.77966259,396.00000000,298.00000000,2.71000000,2.70909091,2.71567465,31150010000000160010000000,Y, ,Westside,Near Westside,NW,612,Schools,0.00000000,0.00000000,0.00000000,0.00000000,600,TULLY ST & SENECA ST & OT,189800.00000000,3944000.00000000,0.00000000,0.00000000,0.00000000, ,1915, ,0891108100,08,100.-16-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
373,0,31150010200000070050000000,1413.34131894,208.00000000,534.82000000,2.55000000,2.55377778,2.33876610,31150010200000070050000000,N, ,Downtown,Downtown,SE,670,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,511,STATE ST S TO TOWNSEND ST,2221500.00000000,10007500.00000000,0.00000000,0.00000000,0.00000000, ,1956, ,1586001802,15,102.-07-05.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
374,0,31150010000000070020010000,842.57626417,118.92000000,260.00000000,0.71000000,0.70980716,0.79842218,31150010000000070020010000,Y, ,Westside,Near Westside,NW,632,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,215,WYOMING ST & OTISCO ST &,104400.00000000,1119000.00000000,139315.00000000,139315.00000000,139315.00000000, ,1930, ,0898000301,08,100.-07-02.1,139315.00000000,139315.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
375,0,31150010100000130010000000,1229.16269923,1300.00000000,252.00000000,7.52000000,7.52066116,2.32414253,31150010100000130010000000,N, ,Downtown,Downtown,NW,681,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,200,JEFFERSON ST W,1139000.00000000,5966800.00000000,0.00000000,0.00000000,0.00000000, ,1965, ,0944300700,09,101.-13-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
376,0,31150003700000220040000000,643.31438664,118.39000000,198.41000000,0.54000000,0.53925069,0.55103618,31150003700000220040000000,N, ,Eastside,Westcott,SE,662,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,2030,GENESEE ST E & CAMBRIDGE,41300.00000000,299500.00000000,0.00000000,0.00000000,0.00000000, ,1975, ,1731305300,17,037.-22-04.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
377,0,31150010200000100020000000,1142.58728540,283.29000000,287.43000000,1.87000000,1.86928477,1.87306929,31150010200000100020000000,N, ,Downtown,Downtown,SE,652,Community Services,0.00000000,0.00000000,0.00000000,0.00000000,600,STATE ST S & MADISON ST &,1624400.00000000,48194000.00000000,0.00000000,0.00000000,0.00000000, ,1980, ,1586002500,15,102.-10-02.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
378,0,31150003700000120210000000,397.64990004,150.00000000,150.00000000,0.52000000,0.51652893,0.15897781,31150003700000120210000000,N, ,Eastside,Meadowbrook,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,2601,GENESEE ST E & SALT SPRIN,16900.00000000,16900.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,1731309900,17,037.-12-21.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
379,0,31150010300000160010000000,202.71123134,41.00000000,60.00000000,0.06000000,0.05647383,0.05680950,31150010300000160010000000,N, ,Downtown,Downtown,SE,963,Parks,0.00000000,0.00000000,0.00000000,0.00000000,257,WATER ST E & MONTGOMERY S,24600.00000000,24600.00000000,0.00000000,0.00000000,0.00000000, ,0000, ,0994601500,09,103.-16-01.0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000, , , 
